Site,Date,Depth,Temp,Source
7_hab,2020-01-01,5,6.281533263623714,MY
7_hab,2020-01-01,10,6.281533263623714,MY
7_hab,2020-01-01,15,6.281533263623714,MY
7_hab,2020-01-01,20,6.281533263623714,MY
7_hab,2020-01-01,30,6.281533263623714,MY
7_hab,2020-01-01,40,6.318155474960804,MY
7_hab,2020-01-02,5,6.220740392804146,MY
7_hab,2020-01-02,10,6.220740392804146,MY
7_hab,2020-01-02,15,6.220740392804146,MY
7_hab,2020-01-02,20,6.220740392804146,MY
7_hab,2020-01-02,30,6.220740392804146,MY
7_hab,2020-01-02,40,6.227332390844822,MY
7_hab,2020-01-03,5,6.113071091473103,MY
7_hab,2020-01-03,10,6.113071091473103,MY
7_hab,2020-01-03,15,6.113071091473103,MY
7_hab,2020-01-03,20,6.113071091473103,MY
7_hab,2020-01-03,30,6.113071091473103,MY
7_hab,2020-01-03,40,6.142368860542774,MY
7_hab,2020-01-04,5,5.9555955827236176,MY
7_hab,2020-01-04,10,5.9555955827236176,MY
7_hab,2020-01-04,15,5.9555955827236176,MY
7_hab,2020-01-04,20,5.9555955827236176,MY
7_hab,2020-01-04,30,5.9555955827236176,MY
7_hab,2020-01-04,40,6.0222480073571205,MY
7_hab,2020-01-05,5,5.820825845003128,MY
7_hab,2020-01-05,10,5.820825845003128,MY
7_hab,2020-01-05,15,5.820825845003128,MY
7_hab,2020-01-05,20,5.820825845003128,MY
7_hab,2020-01-05,30,5.820825845003128,MY
7_hab,2020-01-05,40,5.907986707985401,MY
7_hab,2020-01-06,5,5.698507659137249,MY
7_hab,2020-01-06,10,5.698507659137249,MY
7_hab,2020-01-06,15,5.698507659137249,MY
7_hab,2020-01-06,20,5.698507659137249,MY
7_hab,2020-01-06,30,5.698507659137249,MY
7_hab,2020-01-06,40,5.755638308823109,MY
7_hab,2020-01-07,5,5.52711571007967,MY
7_hab,2020-01-07,10,5.52711571007967,MY
7_hab,2020-01-07,15,5.52711571007967,MY
7_hab,2020-01-07,20,5.52711571007967,MY
7_hab,2020-01-07,30,5.52711571007967,MY
7_hab,2020-01-07,40,5.589373469352722,MY
7_hab,2020-01-08,5,5.433362849056721,MY
7_hab,2020-01-08,10,5.433362849056721,MY
7_hab,2020-01-08,15,5.433362849056721,MY
7_hab,2020-01-08,20,5.433362849056721,MY
7_hab,2020-01-08,30,5.433362849056721,MY
7_hab,2020-01-08,40,5.5285805985331535,MY
7_hab,2020-01-09,5,5.211432248353958,MY
7_hab,2020-01-09,10,5.211432248353958,MY
7_hab,2020-01-09,15,5.215094469487667,MY
7_hab,2020-01-09,20,5.216559357941151,MY
7_hab,2020-01-09,30,5.2172918021678925,MY
7_hab,2020-01-09,40,5.345469541847706,MY
7_hab,2020-01-10,5,4.855464354157448,MY
7_hab,2020-01-10,10,4.880367457866669,MY
7_hab,2020-01-10,15,4.9580065459012985,MY
7_hab,2020-01-10,20,4.98730431497097,MY
7_hab,2020-01-10,30,5.027588747441769,MY
7_hab,2020-01-10,40,5.181402035057545,MY
7_hab,2020-01-11,5,5.078859843313694,MY
7_hab,2020-01-11,10,5.078127399086952,MY
7_hab,2020-01-11,15,5.068605624139309,MY
7_hab,2020-01-11,20,5.0649434030056,MY
7_hab,2020-01-11,30,5.037110522389412,MY
7_hab,2020-01-11,40,5.118411831557751,MY
7_hab,2020-01-12,5,5.144779823720455,MY
7_hab,2020-01-12,10,5.145512267947197,MY
7_hab,2020-01-12,15,5.1506393775343895,MY
7_hab,2020-01-12,20,5.156498931348324,MY
7_hab,2020-01-12,30,5.147709600627422,MY
7_hab,2020-01-12,40,5.181402035057545,MY
7_hab,2020-01-13,5,5.253914013504982,MY
7_hab,2020-01-13,10,5.253914013504982,MY
7_hab,2020-01-13,15,5.253914013504982,MY
7_hab,2020-01-13,20,5.253914013504982,MY
7_hab,2020-01-13,30,5.267098009586334,MY
7_hab,2020-01-13,40,5.250984236598015,MY
7_hab,2020-01-14,5,5.340342432260513,MY
7_hab,2020-01-14,10,5.340342432260513,MY
7_hab,2020-01-14,15,5.340342432260513,MY
7_hab,2020-01-14,20,5.340342432260513,MY
7_hab,2020-01-14,30,5.341807320713997,MY
7_hab,2020-01-14,40,5.334482878446579,MY
7_hab,2020-01-15,5,5.536637485027313,MY
7_hab,2020-01-15,10,5.535905040800571,MY
7_hab,2020-01-15,15,5.533707708120346,MY
7_hab,2020-01-15,20,5.53517259657383,MY
7_hab,2020-01-15,30,5.527848154306412,MY
7_hab,2020-01-15,40,5.533707708120346,MY
7_hab,2020-01-16,5,5.590838357806206,MY
7_hab,2020-01-16,10,5.590838357806206,MY
7_hab,2020-01-16,15,5.590838357806206,MY
7_hab,2020-01-16,20,5.590838357806206,MY
7_hab,2020-01-16,30,5.590838357806206,MY
7_hab,2020-01-16,40,5.724143207073212,MY
7_hab,2020-01-17,5,5.593768134713173,MY
7_hab,2020-01-17,10,5.593768134713173,MY
7_hab,2020-01-17,15,5.593768134713173,MY
7_hab,2020-01-17,20,5.593768134713173,MY
7_hab,2020-01-17,30,5.595965467393398,MY
7_hab,2020-01-17,40,5.736594758927822,MY
7_hab,2020-01-18,5,5.632587678730488,MY
7_hab,2020-01-18,10,5.631855234503746,MY
7_hab,2020-01-18,15,5.628193013370037,MY
7_hab,2020-01-18,20,5.627460569143295,MY
7_hab,2020-01-18,30,5.639179676771164,MY
7_hab,2020-01-18,40,5.779808968305588,MY
7_hab,2020-01-19,5,5.66628011316061,MY
7_hab,2020-01-19,10,5.66628011316061,MY
7_hab,2020-01-19,15,5.66628011316061,MY
7_hab,2020-01-19,20,5.667012557387352,MY
7_hab,2020-01-19,30,5.680928997695446,MY
7_hab,2020-01-19,40,5.824488066136837,MY
7_hab,2020-01-20,5,5.716086320579052,MY
7_hab,2020-01-20,10,5.716818764805794,MY
7_hab,2020-01-20,15,5.716818764805794,MY
7_hab,2020-01-20,20,5.716818764805794,MY
7_hab,2020-01-20,30,5.7248756512999535,MY
7_hab,2020-01-20,40,5.861110277473927,MY
7_hab,2020-01-21,5,5.68239388614893,MY
7_hab,2020-01-21,10,5.68239388614893,MY
7_hab,2020-01-21,15,5.68239388614893,MY
7_hab,2020-01-21,20,5.68239388614893,MY
7_hab,2020-01-21,30,5.68239388614893,MY
7_hab,2020-01-21,40,5.804712072014809,MY
7_hab,2020-01-22,5,5.745384089648724,MY
7_hab,2020-01-22,10,5.745384089648724,MY
7_hab,2020-01-22,15,5.741721868515015,MY
7_hab,2020-01-22,20,5.740989424288273,MY
7_hab,2020-01-22,30,5.734397426247597,MY
7_hab,2020-01-22,40,5.827417843043804,MY
7_hab,2020-01-23,5,5.737327203154564,MY
7_hab,2020-01-23,10,5.737327203154564,MY
7_hab,2020-01-23,15,5.738059647381306,MY
7_hab,2020-01-23,20,5.738059647381306,MY
7_hab,2020-01-23,30,5.738059647381306,MY
7_hab,2020-01-23,40,5.832544952630997,MY
7_hab,2020-01-24,5,5.609149463474751,MY
7_hab,2020-01-24,10,5.609149463474751,MY
7_hab,2020-01-24,15,5.609149463474751,MY
7_hab,2020-01-24,20,5.609149463474751,MY
7_hab,2020-01-24,30,5.609149463474751,MY
7_hab,2020-01-24,40,5.67433699965477,MY
7_hab,2020-01-25,5,5.357921093702316,MY
7_hab,2020-01-25,10,5.357921093702316,MY
7_hab,2020-01-25,15,5.357921093702316,MY
7_hab,2020-01-25,20,5.357921093702316,MY
7_hab,2020-01-25,30,5.357921093702316,MY
7_hab,2020-01-25,40,5.368175312876701,MY
7_hab,2020-01-26,5,5.1469771564006805,MY
7_hab,2020-01-26,10,5.1469771564006805,MY
7_hab,2020-01-26,15,5.1469771564006805,MY
7_hab,2020-01-26,20,5.1469771564006805,MY
7_hab,2020-01-26,30,5.147709600627422,MY
7_hab,2020-01-26,40,5.130863383412361,MY
7_hab,2020-01-27,5,4.977782540023327,MY
7_hab,2020-01-27,10,4.977782540023327,MY
7_hab,2020-01-27,15,4.977782540023327,MY
7_hab,2020-01-27,20,4.977782540023327,MY
7_hab,2020-01-27,30,4.977782540023327,MY
7_hab,2020-01-27,40,4.9719229862093925,MY
7_hab,2020-01-28,5,4.83568836003542,MY
7_hab,2020-01-28,10,4.83568836003542,MY
7_hab,2020-01-28,15,4.83568836003542,MY
7_hab,2020-01-28,20,4.83568836003542,MY
7_hab,2020-01-28,30,4.83568836003542,MY
7_hab,2020-01-28,40,4.885494567453861,MY
7_hab,2020-01-29,5,4.739738166332245,MY
7_hab,2020-01-29,10,4.739738166332245,MY
7_hab,2020-01-29,15,4.739738166332245,MY
7_hab,2020-01-29,20,4.739738166332245,MY
7_hab,2020-01-29,30,4.739738166332245,MY
7_hab,2020-01-29,40,4.814447477459908,MY
7_hab,2020-01-30,5,4.526596896350384,MY
7_hab,2020-01-30,10,4.5273293405771255,MY
7_hab,2020-01-30,15,4.528061784803867,MY
7_hab,2020-01-30,20,4.528061784803867,MY
7_hab,2020-01-30,30,4.529526673257351,MY
7_hab,2020-01-30,40,4.65184485912323,MY
7_hab,2020-01-31,5,3.798547334969044,MY
7_hab,2020-01-31,10,3.807336665689945,MY
7_hab,2020-01-31,15,3.924527741968632,MY
7_hab,2020-01-31,20,3.9560228437185287,MY
7_hab,2020-01-31,30,4.087130360305309,MY
7_hab,2020-01-31,40,4.311990737915039,MY
7_hab,2020-02-01,5,3.279976822435856,MY
7_hab,2020-02-01,10,3.4733420982956886,MY
7_hab,2020-02-01,15,3.807336665689945,MY
7_hab,2020-02-01,20,3.888637974858284,MY
7_hab,2020-02-01,30,4.089327692985535,MY
7_hab,2020-02-01,40,4.301004074513912,MY
7_hab,2020-02-02,5,3.4989776462316518,MY
7_hab,2020-02-02,10,3.720908246934414,MY
7_hab,2020-02-02,15,4.057832591235638,MY
7_hab,2020-02-02,20,4.130344569683075,MY
7_hab,2020-02-02,30,4.26731164008379,MY
7_hab,2020-02-02,40,4.487044908106327,MY
7_hab,2020-02-03,5,3.970671728253365,MY
7_hab,2020-02-03,10,4.027802377939224,MY
7_hab,2020-02-03,15,4.259987197816372,MY
7_hab,2020-02-03,20,4.368388943374157,MY
7_hab,2020-02-03,30,4.492904461920261,MY
7_hab,2020-02-03,40,4.66429641097784,MY
7_hab,2020-02-04,5,4.038056597113609,MY
7_hab,2020-02-04,10,4.046845927834511,MY
7_hab,2020-02-04,15,4.1215552389621735,MY
7_hab,2020-02-04,20,4.18967255204916,MY
7_hab,2020-02-04,30,4.495101794600487,MY
7_hab,2020-02-04,40,4.656971968710423,MY
7_hab,2020-02-05,5,4.157445006072521,MY
7_hab,2020-02-05,10,4.16110722720623,MY
7_hab,2020-02-05,15,4.193334773182869,MY
7_hab,2020-02-05,20,4.209448546171188,MY
7_hab,2020-02-05,30,4.34495072811842,MY
7_hab,2020-02-05,40,4.626941755414009,MY
7_hab,2020-02-06,5,3.829309992492199,MY
7_hab,2020-02-06,10,3.858607761561871,MY
7_hab,2020-02-06,15,4.033661931753159,MY
7_hab,2020-02-06,20,4.095919691026211,MY
7_hab,2020-02-06,30,4.254127644002438,MY
7_hab,2020-02-06,40,4.530259117484093,MY
7_hab,2020-02-07,5,3.764854900538922,MY
7_hab,2020-02-07,10,3.7685171216726303,MY
7_hab,2020-02-07,15,3.8029420003294954,MY
7_hab,2020-02-07,20,3.843226432800293,MY
7_hab,2020-02-07,30,4.060029923915863,MY
7_hab,2020-02-07,40,4.385235160589218,MY
7_hab,2020-02-08,5,3.4499038830399518,MY
