Site,Date,Depth,chl,Source
10_tom,2020-01-01,5,0.3689762651920318,MY
10_tom,2020-01-01,10,0.3688859045505523,MY
10_tom,2020-01-01,15,0.3687760233879089,MY
10_tom,2020-01-01,20,0.3685960173606872,MY
10_tom,2020-01-01,30,0.3680897653102875,MY
10_tom,2020-01-01,40,0.3665752112865448,MY
10_tom,2020-01-01,50,0.3640652894973755,MY
10_tom,2020-01-02,5,0.3816594779491424,MY
10_tom,2020-01-02,10,0.3815527260303497,MY
10_tom,2020-01-02,15,0.3814290463924408,MY
10_tom,2020-01-02,20,0.3812340795993805,MY
10_tom,2020-01-02,30,0.3807146251201629,MY
10_tom,2020-01-02,40,0.3792030215263366,MY
10_tom,2020-01-02,50,0.3765458166599273,MY
10_tom,2020-01-03,5,0.3852948546409607,MY
10_tom,2020-01-03,10,0.3851569890975952,MY
10_tom,2020-01-03,15,0.385008305311203,MY
10_tom,2020-01-03,20,0.384788304567337,MY
10_tom,2020-01-03,30,0.3842457234859466,MY
10_tom,2020-01-03,40,0.3826343715190887,MY
10_tom,2020-01-03,50,0.3798980116844177,MY
10_tom,2020-01-04,5,0.3903266191482544,MY
10_tom,2020-01-04,10,0.3901414275169372,MY
10_tom,2020-01-04,15,0.3899551928043365,MY
10_tom,2020-01-04,20,0.3896867334842682,MY
10_tom,2020-01-04,30,0.3890135288238525,MY
10_tom,2020-01-04,40,0.3869836926460266,MY
10_tom,2020-01-04,50,0.3835884034633636,MY
10_tom,2020-01-05,5,0.4060048758983612,MY
10_tom,2020-01-05,10,0.4057578146457672,MY
10_tom,2020-01-05,15,0.405505359172821,MY
10_tom,2020-01-05,20,0.4051482081413269,MY
10_tom,2020-01-05,30,0.4043076038360595,MY
10_tom,2020-01-05,40,0.4019225239753723,MY
10_tom,2020-01-05,50,0.3981682360172272,MY
10_tom,2020-01-06,5,0.4199448823928833,MY
10_tom,2020-01-06,10,0.4196447134017944,MY
10_tom,2020-01-06,15,0.4193447530269623,MY
10_tom,2020-01-06,20,0.418926864862442,MY
10_tom,2020-01-06,30,0.4179618954658508,MY
10_tom,2020-01-06,40,0.4153114259243011,MY
10_tom,2020-01-06,50,0.4114497005939483,MY
10_tom,2020-01-07,5,0.4248305559158325,MY
10_tom,2020-01-07,10,0.4246048331260681,MY
10_tom,2020-01-07,15,0.4243822991847992,MY
10_tom,2020-01-07,20,0.4240560829639435,MY
10_tom,2020-01-07,30,0.4228243231773376,MY
10_tom,2020-01-07,40,0.4168510735034942,MY
10_tom,2020-01-07,50,0.4074485599994659,MY
10_tom,2020-01-08,5,0.4219613373279571,MY
10_tom,2020-01-08,10,0.4216440618038177,MY
10_tom,2020-01-08,15,0.4213087260723114,MY
10_tom,2020-01-08,20,0.4208070933818817,MY
10_tom,2020-01-08,30,0.4194372594356537,MY
10_tom,2020-01-08,40,0.4156554341316223,MY
10_tom,2020-01-08,50,0.4096660614013672,MY
10_tom,2020-01-09,5,0.4244201481342315,MY
10_tom,2020-01-09,10,0.4241809844970703,MY
